name	kind	category	arguments	signature	returns	since	description
ducknng_self_signed_tls_config	scalar	Transport Security	common_name, valid_days, auth_mode	ducknng_self_signed_tls_config(common_name, valid_days, auth_mode)	UBIGINT	0.1.0	Generate a self-signed development certificate and register it as a TLS config handle.
ducknng_tls_config_from_pem	scalar	Transport Security	cert_pem, key_pem, ca_pem, password, auth_mode	ducknng_tls_config_from_pem(cert_pem, key_pem, ca_pem, password, auth_mode)	UBIGINT	0.1.0	Register a TLS config handle from in-memory PEM material.
ducknng_tls_config_from_files	scalar	Transport Security	cert_key_file, ca_file, password, auth_mode	ducknng_tls_config_from_files(cert_key_file, ca_file, password, auth_mode)	UBIGINT	0.1.0	Register a TLS config handle from file-backed certificate material.
ducknng_request	table	Primitive Transport	url, payload, timeout_ms, tls_config_id	ducknng_request(url, payload, timeout_ms, tls_config_id)	TABLE(ok BOOLEAN, error VARCHAR, payload BLOB)	0.1.0	Perform a one-shot raw request and return a structured result row.
ducknng_request_socket	table	Primitive Transport	socket_id, payload, timeout_ms	ducknng_request_socket(socket_id, payload, timeout_ms)	TABLE(ok BOOLEAN, error VARCHAR, payload BLOB)	0.1.0	Perform a raw request through a previously dialed socket handle and return a structured result row.
ducknng_request_raw_aio	scalar	Async I/O	url, frame, timeout_ms, tls_config_id	ducknng_request_raw_aio(url, frame, timeout_ms, tls_config_id)	UBIGINT	0.1.0	Launch one raw req/rep roundtrip asynchronously and return a future-like aio handle id.
ducknng_request_socket_raw_aio	scalar	Async I/O	socket_id, frame, timeout_ms	ducknng_request_socket_raw_aio(socket_id, frame, timeout_ms)	UBIGINT	0.1.0	Launch one raw req/rep roundtrip asynchronously on an existing socket handle and return an aio handle id.
ducknng_aio_ready	scalar	Async I/O	aio_id	ducknng_aio_ready(aio_id)	BOOLEAN	0.1.0	Return whether an aio handle has reached a terminal state.
ducknng_aio_collect	table	Async I/O	aio_ids, wait_ms	ducknng_aio_collect(aio_ids, wait_ms)	TABLE(aio_id UBIGINT, ok BOOLEAN, error VARCHAR, frame BLOB)	0.1.0	Wait for any requested aio handles to finish and return one row per newly collected terminal result.
ducknng_aio_cancel	scalar	Async I/O	aio_id	ducknng_aio_cancel(aio_id)	BOOLEAN	0.1.0	Request cancellation of a pending aio handle.
ducknng_aio_drop	scalar	Async I/O	aio_id	ducknng_aio_drop(aio_id)	BOOLEAN	0.1.0	Release a terminal aio handle from the runtime registry.
ducknng_get_rpc_manifest	table	RPC Helper	url, tls_config_id	ducknng_get_rpc_manifest(url, tls_config_id)	TABLE(ok BOOLEAN, error VARCHAR, manifest VARCHAR)	0.1.0	Request the RPC manifest and return a structured result row.
ducknng_get_rpc_manifest_raw	scalar	RPC Helper	url, tls_config_id	ducknng_get_rpc_manifest_raw(url, tls_config_id)	BLOB	0.1.0	Request the RPC manifest and return the raw reply frame as BLOB.
ducknng_run_rpc	table	RPC Helper	url, sql, tls_config_id	ducknng_run_rpc(url, sql, tls_config_id)	TABLE(ok BOOLEAN, error VARCHAR, rows_changed UBIGINT, statement_type INTEGER, result_type INTEGER)	0.1.0	Execute a metadata-oriented RPC call and return a structured result row.
ducknng_run_rpc_raw	scalar	RPC Helper	url, sql, tls_config_id	ducknng_run_rpc_raw(url, sql, tls_config_id)	BLOB	0.1.0	Execute the exec RPC and return the raw reply frame as BLOB.
ducknng_query_rpc	table	RPC Helper	url, sql, tls_config_id	ducknng_query_rpc(url, sql, tls_config_id)	table	0.1.0	Execute a row-returning RPC query and expose the unary Arrow IPC row reply as a DuckDB table.
ducknng_open_query	table	RPC Session	url, sql, batch_rows, batch_bytes, tls_config_id	ducknng_open_query(url, sql, batch_rows, batch_bytes, tls_config_id)	TABLE(ok BOOLEAN, error VARCHAR, session_id UBIGINT, state VARCHAR, next_method VARCHAR, control_json VARCHAR)	0.1.0	Open a server-side query session and return the JSON control metadata as a structured row.
ducknng_fetch_query	table	RPC Session	url, session_id, batch_rows, batch_bytes, tls_config_id	ducknng_fetch_query(url, session_id, batch_rows, batch_bytes, tls_config_id)	TABLE(ok BOOLEAN, error VARCHAR, session_id UBIGINT, state VARCHAR, next_method VARCHAR, control_json VARCHAR, payload BLOB, end_of_stream BOOLEAN)	0.1.0	Fetch the next session reply and return either JSON control metadata or an Arrow IPC batch payload.
ducknng_close_query	table	RPC Session	url, session_id, tls_config_id	ducknng_close_query(url, session_id, tls_config_id)	TABLE(ok BOOLEAN, error VARCHAR, session_id UBIGINT, state VARCHAR, next_method VARCHAR, control_json VARCHAR)	0.1.0	Close a server-side query session and return the JSON control metadata as a structured row.
ducknng_cancel_query	table	RPC Session	url, session_id, tls_config_id	ducknng_cancel_query(url, session_id, tls_config_id)	TABLE(ok BOOLEAN, error VARCHAR, session_id UBIGINT, state VARCHAR, next_method VARCHAR, control_json VARCHAR)	0.1.0	Cancel and close a server-side query session and return the JSON control metadata as a structured row.
ducknng_request_raw	scalar	Primitive Transport	url, payload, timeout_ms, tls_config_id	ducknng_request_raw(url, payload, timeout_ms, tls_config_id)	BLOB	0.1.0	Perform a one-shot raw request and return the raw reply frame bytes.
ducknng_request_socket_raw	scalar	Primitive Transport	socket_id, payload, timeout_ms	ducknng_request_socket_raw(socket_id, payload, timeout_ms)	BLOB	0.1.0	Perform a raw request through a dialed socket handle and return the raw reply frame bytes.
ducknng_decode_frame	table	Primitive Transport	frame	ducknng_decode_frame(frame)	TABLE(ok BOOLEAN, error VARCHAR, version UTINYINT, type UTINYINT, flags UINTEGER, type_name VARCHAR, name VARCHAR, payload BLOB, payload_text VARCHAR)	0.1.0	Decode a raw ducknng frame into envelope fields and extracted payload columns.
